id,started_at,finished_at,status,config_json,pages_seen,files_seen,rows_inserted,rows_rejected,error_summary
f7c58a8a-f77e-4924-85e4-48a087ed6b4a,2026-08-20 18:22:44.648349+00:00,2026-08-20 18:22:45.010312+00:00,completed,"{'amcs': ['mirae_asset'], 'max_files': 5}",0,0,0,0,{'errors': 0}
ca26f31a-144f-4aaa-ab06-1ea8ed1456e3,2026-08-20 18:24:28.307562+00:00,2026-08-20 18:24:43.485585+00:00,completed,"{'amcs': ['mirae_asset'], 'max_files': 5}",0,5,391,0,{'errors': 0}
c33359d7-7db5-4c94-9543-2318b5d6c874,2026-08-20 18:24:49.366267+00:00,2026-08-20 18:24:52.318762+00:00,completed,"{'amcs': ['dsp'], 'max_files': 5}",0,5,730,0,{'errors': 0}
233b7ef5-9e77-4139-911b-b2864d00c891,2026-08-20 18:25:02.657032+00:00,2026-08-20 18:25:03.393129+00:00,completed,"{'amcs': ['invesco'], 'max_files': 5}",0,0,0,0,{'errors': 0}
80a63af3-f631-4bef-a62f-9ff5d1555b32,2026-08-20 18:25:39.821531+00:00,2026-08-20 18:25:46.106640+00:00,completed,"{'amcs': ['invesco'], 'max_files': 5}",0,5,0,0,{'errors': 0}
1c68bfbd-07c7-4a34-9a2f-5f927743da7d,2026-08-20 18:26:13.785999+00:00,2026-08-20 18:26:21.203642+00:00,completed,"{'amcs': ['invesco'], 'max_files': 5}",0,5,615,0,{'errors': 0}
a28ad8e3-cb7f-46f5-a100-7a716af199c1,2026-08-20 18:26:41.648602+00:00,2026-08-20 18:28:37.048044+00:00,completed,"{'amcs': ['icici_prudential'], 'max_files': 10}",0,10,35604,0,{'errors': 0}
d3478a0a-8513-4098-97d9-7693101f5121,2026-08-20 18:50:48.578333+00:00,2026-08-20 18:51:43.126404+00:00,completed,"{'amcs': ['mirae_asset', 'dsp', 'invesco'], 'max_files': 20}",0,52,7305,0,{'errors': 0}
f16d5306-4450-4394-880e-2048384f9029,2026-08-20 18:51:56.587210+00:00,2026-08-20 18:52:53.294954+00:00,completed,"{'amcs': ['mirae_asset', 'dsp', 'invesco'], 'max_files': 20}",0,52,6744,0,{'errors': 0}
31ed6359-9c37-4074-8d2b-a9bf79740a8d,2026-08-20 18:53:02.111363+00:00,,running,"{'amcs': ['icici_prudential'], 'max_files': 40}",0,0,0,0,{}
c361f844-846a-4342-bab9-bdb1d0d3e707,2026-08-20 19:00:06.485307+00:00,2026-08-20 19:03:25.197280+00:00,completed,"{'amcs': ['icici_prudential'], 'max_files': 10}",0,10,35604,0,{'errors': 0}
7c287d33-ee9b-4c22-bb63-d7edcddbe895,2026-08-20 22:39:15.554656+00:00,2026-08-20 22:39:16.303416+00:00,completed,"{'pipeline': 'nav_backfill', 'start_date': '2026-07-22', 'end_date': '2026-08-21', 'amc_filter': None}",0,1,0,0,{'errors': 0}
69ce95c3-5b17-4eba-93ff-d9767b7ffeb5,2026-08-20 22:40:01.408643+00:00,2026-08-20 22:42:24.338811+00:00,completed,"{'amcs': ['mirae_asset', 'dsp', 'invesco'], 'max_files': 20}",0,52,22403,0,{'errors': 0}
7995060c-a069-4138-a122-31d4fef60c67,2026-08-20 22:49:26.812279+00:00,2026-08-20 22:49:43.965519+00:00,completed,"{'pipeline': 'nav_backfill', 'start_date': '2026-07-22', 'end_date': '2026-08-21', 'amc_filter': None}",0,4,0,0,{'errors': 0}
6bb4a808-8a0d-4d28-8e64-f7983f7965bd,2026-08-20 22:50:24.257346+00:00,2026-08-20 22:50:24.289059+00:00,completed_with_errors,"{'pipeline': 'portfolio_backfill', 'amc_codes': ['PPFAS', 'DSP', 'GROWW'], 'dataset_types': None, 'start_date': '2024-08-21', 'end_date': '2026-08-21', 'max_files_per_amc': 5}",0,0,0,3,{'errors': 3}
b1f4e43b-6d58-42a4-8b7f-9adcd8930f71,2026-08-20 22:50:45.528587+00:00,2026-08-20 22:50:45.560361+00:00,completed,"{'pipeline': 'portfolio_backfill', 'amc_codes': ['PPFAS', 'DSP', 'GROWW'], 'dataset_types': None, 'start_date': '2024-08-21', 'end_date': '2026-08-21', 'max_files_per_amc': 5}",0,0,0,0,{'errors': 0}
976117a9-16bb-4eac-98c5-9867783f6ad0,2026-08-20 22:51:20.299582+00:00,,running,"{'pipeline': 'portfolio_backfill', 'amc_codes': ['PPFAS', 'DSP', 'GROWW'], 'dataset_types': None, 'start_date': '2024-08-21', 'end_date': '2026-08-21', 'max_files_per_amc': 5}",0,0,0,0,{}
716183e0-ed01-4f35-bef4-91d787df7b27,2026-08-20 22:42:45.652446+00:00,2026-08-20 22:55:33.121212+00:00,completed,"{'amcs': ['icici_prudential'], 'max_files': 40}",0,40,137330,0,{'errors': 0}
f574c5ff-93de-4f20-b0ac-a91aae665e08,2026-08-20 22:56:22.359557+00:00,,running,"{'pipeline': 'portfolio_backfill', 'amc_codes': ['PPFAS'], 'dataset_types': None, 'start_date': '2024-08-21', 'end_date': '2026-08-21', 'max_files_per_amc': 1}",0,0,0,0,{}
420cb962-e022-4a61-b708-eaf78a5b8f7c,2026-08-20 22:58:45.056159+00:00,2026-08-20 22:58:47.391363+00:00,completed,"{'amcs': ['ppfas'], 'max_files': 1}",0,0,0,0,{'errors': 0}
fd115007-9c03-4af8-b613-747f1ef177a6,2026-08-20 22:55:41.258732+00:00,2026-08-20 22:59:09.916944+00:00,completed,"{'amcs': ['aditya_birla', 'lic', 'axis'], 'max_files': 20}",0,20,30539,0,{'errors': 0}
81838f77-9c7f-498d-90d8-9125cdfed990,2026-08-20 22:59:14.600303+00:00,2026-08-20 23:02:04.295603+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco', 'icici_prudential'], 'max_files': 3}",0,12,11986,0,{'errors': 0}
45537ee1-0977-4668-b1ed-53a78bcdcbfd,2026-08-21 20:31:24.157586+00:00,2026-08-21 20:36:53.309933+00:00,completed,"{'amcs': ['lic', 'axis'], 'max_files': 20}",0,40,6776,0,{'errors': 0}
a36aeef3-a88a-4b0f-b173-90cb8d177767,2026-08-21 20:54:21.308382+00:00,2026-08-21 20:56:43.350048+00:00,completed,"{'pipeline': 'nav_backfill', 'start_date': '2021-08-23', 'end_date': '2026-08-22', 'amc_filter': None}",0,84,0,0,{'errors': 0}
ee37f33b-5966-4211-bce8-fb5b4f3391c6,2026-08-21 20:53:50.809228+00:00,2026-08-21 20:57:57.087879+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco', 'icici_prudential'], 'max_files': 3}",0,9,4207,3,{'errors': 3}
7ff0c4a8-a860-4f97-8f37-8732bf4d3497,2026-08-21 21:01:13.387376+00:00,2026-08-21 21:03:20.533399+00:00,completed,"{'amcs': ['icici_prudential'], 'max_files': 3}",0,3,8435,0,{'errors': 0}
31e058aa-241b-4ea3-87a9-f27fdc47df89,2026-08-21 21:12:40.344382+00:00,2026-08-21 21:13:05.588032+00:00,completed,"{'amcs': ['ppfas', 'invesco'], 'max_files': 6}",0,12,687,0,{'errors': 0}
24ae010b-7d1c-4f9c-9034-ed413a9c8c41,2026-08-21 21:13:44.062695+00:00,2026-08-21 21:15:00.558682+00:00,completed,"{'amcs': ['ppfas', 'dsp'], 'max_files': 15}",0,30,6756,0,{'errors': 0}
6d6689e8-5a3e-4b9c-b79d-b1d0e9e6e146,2026-08-21 21:29:01.279286+00:00,2026-08-21 21:34:42.640037+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco', 'icici_prudential'], 'max_files': 8}",0,40,30232,0,{'errors': 0}
3116f23d-13dd-4036-8b99-ba57dca9ab2e,2026-08-21 21:42:36.212796+00:00,2026-08-21 21:42:51.133326+00:00,completed,"{'amcs': ['icici_prudential'], 'max_files': 8}",0,0,0,1,{'errors': 1}
6a5bd902-8af0-4872-a53c-421368a9f839,2026-08-21 21:43:10.438980+00:00,2026-08-21 21:44:18.708494+00:00,completed,"{'amcs': ['icici_prudential'], 'max_files': 8}",0,0,0,1,{'errors': 1}
2efc047d-65ce-4e6e-8eee-3c6fd7f1cbde,2026-08-21 21:53:29.416120+00:00,2026-08-21 21:55:26.070337+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco'], 'max_files': 8}",0,32,5568,0,{'errors': 0}
52b2a981-ac75-4e04-ad66-acdd4e735ccc,2026-08-21 22:09:25.135398+00:00,2026-08-21 22:11:14.654023+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco'], 'max_files': 8}",0,32,6885,0,{'errors': 0}
99411dfb-4b6f-4f5b-a3b8-0ae7b296365a,2026-08-21 22:13:51.138130+00:00,2026-08-21 22:15:26.619222+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco'], 'max_files': 8}",0,32,4556,0,{'errors': 0}
48fc2fa9-1f35-4cb3-bad0-698e0b807b63,2026-08-21 22:20:00.074227+00:00,2026-08-21 22:21:08.651506+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco'], 'max_files': 8}",0,16,4904,1,{'errors': 1}
5255f6c9-8349-4d6c-993a-44cc6f6bb169,2026-08-21 22:27:29.483740+00:00,2026-08-21 22:28:36.481043+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset'], 'max_files': 8}",0,24,5848,0,{'errors': 0}
4b5481b3-b627-400e-97f8-41d273d0e5cc,2026-08-21 22:28:29.705919+00:00,2026-08-21 22:33:50.457375+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'mirae_asset', 'invesco', 'aditya_birla', 'lic', 'axis'], 'max_files': 2}",0,14,174,0,{'errors': 0}
75ac2dbb-db9a-4616-8a1e-ea5ae939d64f,2026-08-21 22:42:26.943694+00:00,2026-08-21 22:43:17.226366+00:00,completed,"{'amcs': ['ppfas', 'dsp', 'aditya_birla', 'axis'], 'max_files': 3}",0,12,3947,0,{'errors': 0}
24ca79fc-ec3a-45ce-8e48-df0291be9057,2026-08-21 22:47:15.506254+00:00,2026-08-21 22:48:26.363562+00:00,completed,"{'amcs': ['aditya_birla', 'axis', 'ppfas', 'dsp'], 'max_files': 3}",0,12,6397,0,{'errors': 0}
f8b464f0-e899-4e9f-be32-a17804084404,2026-08-21 22:49:46.265781+00:00,2026-08-21 22:50:26.302306+00:00,completed,"{'amcs': ['axis', 'ppfas'], 'max_files': 3}",0,6,4349,0,{'errors': 0}
