131,BANDHAN Overnight Fund - Regular Plan - Growth,BANDHAN Overnight Fund - Regular Plan - Growth,BANDHAN Overnight Fund - Regular Plan - Growth,BANDHAN Overnight Fund - Regular Plan - Growth
132,1191.4242,,,07-Apr-2023 13:03:38
133,BANDHAN Overnight Fund - Regular Plan - Monthly IDCW,BANDHAN Overnight Fund - Regular Plan - Monthly IDCW,BANDHAN Overnight Fund - Regular Plan - Monthly IDCW,BANDHAN Overnight Fund - Regular Plan - Monthly IDCW
134,1001.6119,,,07-Apr-2023 13:03:38
135,BANDHAN Overnight Fund - Regular Plan - Weekly IDCW,BANDHAN Overnight Fund - Regular Plan - Weekly IDCW,BANDHAN Overnight Fund - Regular Plan - Weekly IDCW,BANDHAN Overnight Fund - Regular Plan - Weekly IDCW
136,1001.1033,,,07-Apr-2023 13:03:38
137,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW
138,1090.1446,,,07-Apr-2023 13:03:38
139,Bank of India Mutual Fund,Bank of India Mutual Fund,Bank of India Mutual Fund,Bank of India Mutual Fund
140,BANK OF INDIA LIQUID FUND,BANK OF INDIA LIQUID FUND,BANK OF INDIA LIQUID FUND,BANK OF INDIA LIQUID FUND
141,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW
142,1002.6483,,,07-Apr-2023 00:55:16
143,BANK OF INDIA Liquid Fund- Direct Plan- Growth,BANK OF INDIA Liquid Fund- Direct Plan- Growth,BANK OF INDIA Liquid Fund- Direct Plan- Growth,BANK OF INDIA Liquid Fund- Direct Plan- Growth
144,2594.9697,,,07-Apr-2023 00:55:16
145,BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW
146,1062.5128,,,07-Apr-2023 00:55:16
147,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW
148,1002.1069,,,07-Apr-2023 00:55:16
